nuts2_id,country,scenario,cf
SI03,Slovenia,RCP8.5,405.76
SI03,Slovenia,RCP8.5,513.34
SI03,Slovenia,RCP8.5,1963.51
SI03,Slovenia,RCP8.5,1123.5
SI03,Slovenia,RCP8.5,1195.95
SI03,Slovenia,RCP8.5,907.1
SI03,Slovenia,RCP8.5,2539.35
SI03,Slovenia,RCP8.5,641.49
SI03,Slovenia,RCP8.5,1688.21
SI03,Slovenia,RCP8.5,1113.62
SI03,Slovenia,RCP8.5,1928.05
SI03,Slovenia,RCP8.5,548.85
SI03,Slovenia,RCP8.5,1434.81
SI03,Slovenia,RCP8.5,4381.87
SI03,Slovenia,RCP8.5,524.62
SI03,Slovenia,RCP8.5,2672.86
SI03,Slovenia,RCP8.5,4640.17
SI03,Slovenia,RCP8.5,1161.71
SI03,Slovenia,RCP8.5,1167.33
SI03,Slovenia,RCP8.5,2033.61
SI03,Slovenia,RCP8.5,747.62
SI03,Slovenia,RCP8.5,604.71
SI03,Slovenia,RCP8.5,5404.08
SI03,Slovenia,RCP8.5,1114.46
SI03,Slovenia,RCP8.5,5607.46
SI03,Slovenia,RCP8.5,1776.74
SI03,Slovenia,RCP8.5,1632.62
SI03,Slovenia,RCP8.5,837.2
SI03,Slovenia,RCP8.5,4587.04
SI03,Slovenia,RCP8.5,2965.48
SI03,Slovenia,RCP8.5,4345.66
SI03,Slovenia,RCP8.5,1009.66
SI03,Slovenia,RCP8.5,974.13
SI03,Slovenia,RCP8.5,1881.62
SI03,Slovenia,RCP8.5,3452.53
SI03,Slovenia,RCP8.5,2207.46
SI03,Slovenia,RCP8.5,2958.01
SI03,Slovenia,RCP8.5,867.33
SI03,Slovenia,RCP8.5,2368.77
SI03,Slovenia,RCP8.5,1145.96
SI03,Slovenia,RCP8.5,2511.77
SI03,Slovenia,RCP8.5,1635.77
SI03,Slovenia,RCP8.5,987.54
SI03,Slovenia,RCP8.5,831.6
SI03,Slovenia,RCP8.5,3420.58
SI03,Slovenia,RCP8.5,1002.28
SI03,Slovenia,RCP8.5,3420.58
SI03,Slovenia,RCP8.5,1287.66
SI03,Slovenia,RCP8.5,1392.65
SI03,Slovenia,RCP8.5,1354.97
SI03,Slovenia,RCP8.5,5476.42
SI03,Slovenia,RCP8.5,1235.83
SI03,Slovenia,RCP8.5,1185.13
SI03,Slovenia,RCP8.5,2177.6
SI03,Slovenia,RCP8.5,2091.44
SI03,Slovenia,RCP8.5,3466.72
SI03,Slovenia,RCP8.5,5075.11
SI03,Slovenia,RCP8.5,1988.04
SI03,Slovenia,RCP8.5,1604.55
SI03,Slovenia,RCP8.5,1808.65
SI03,Slovenia,RCP8.5,2597.74
SI03,Slovenia,RCP8.5,1524
SI03,Slovenia,RCP8.5,1199.78
SI03,Slovenia,RCP8.5,2164.37
SI03,Slovenia,RCP8.5,1406.71
SI03,Slovenia,RCP8.5,2941.12
SI03,Slovenia,RCP8.5,2069
SI03,Slovenia,RCP8.5,1905.15
SI03,Slovenia,RCP8.5,1592.77
SI03,Slovenia,RCP8.5,2448.78
SI03,Slovenia,RCP8.5,4702.27
SI03,Slovenia,RCP8.5,3659.69
SI03,Slovenia,RCP8.5,4968.03
SI03,Slovenia,RCP8.5,5541.12
SK02,Slovakia,Baseline,843.82
SK02,Slovakia,Baseline,863.3
SK02,Slovakia,Baseline,596.7
SK02,Slovakia,Baseline,549.36
SK02,Slovakia,Baseline,727.18
SK02,Slovakia,Baseline,545.33
SK02,Slovakia,Baseline,592.32
SK02,Slovakia,Baseline,6207.86
SK02,Slovakia,Baseline,609.41
SK02,Slovakia,Baseline,527.41
SK02,Slovakia,Baseline,594.87
SK02,Slovakia,Baseline,2465.93
SK02,Slovakia,Baseline,627.2
SK02,Slovakia,Baseline,362.64
SK02,Slovakia,Baseline,2035.95
SK02,Slovakia,Baseline,544.2
SK02,Slovakia,Baseline,837.38
SK02,Slovakia,Baseline,782.65
SK02,Slovakia,Baseline,1125.86
SK02,Slovakia,Baseline,3194.96
SK02,Slovakia,Baseline,1849.53
SK02,Slovakia,Baseline,447.92
SK02,Slovakia,Baseline,1021.91
SK02,Slovakia,Baseline,962.36
SK02,Slovakia,Baseline,446.06
SK02,Slovakia,Baseline,665.89
